Name,Sale Price,Discount,Product Link
WD_BLACK SN850P 1TB NVMe PCI-e Internal Solid State Drive with Heatsink - Officially Licensed for PS5,$164.99,SAVE $10,https://www.bestbuy.ca/en-ca/product/wdblack-sn850p-1tb-nvme-pci-e-internal-solid-state-drive-with-heatsink-officially-licensed-for-ps5/17108594
Samsung 990 Pro 1TB NVMe PCI-e Internal Solid State Drive (MZ-V9P1T0B/AM) - English,$139.99,SAVE $80,https://www.bestbuy.ca/en-ca/product/samsung-990-pro-1tb-nvme-pci-e-internal-solid-state-drive-mz-v9p1t0b-am-english/16624802
Corsair MP600 Pro LPX 2TB M.2 NVMe PCI-e (Gen 4) Internal Solid State Drive with Heatsink - Optimized for PS5,$179.99,SAVE $45,https://www.bestbuy.ca/en-ca/product/corsair-mp600-pro-lpx-2tb-m-2-nvme-pci-e-gen-4-internal-solid-state-drive-with-heatsink-optimized-for-ps5/15980330
WD_BLACK SN770 1TB NVMe PCI-e Internal Solid State Drive (WDBBDL0010BNC-WRSN),$104.99,SAVE $5,https://www.bestbuy.ca/en-ca/product/wdblack-sn770-1tb-nvme-pci-e-internal-solid-state-drive-wdbbdl0010bnc-wrsn/15962260
Samsung 870 EVO 1TB SATA III Internal Solid State Drive (MZ-77E1T0B/AM) - English,$129.99,SAVE $70,https://www.bestbuy.ca/en-ca/product/samsung-870-evo-1tb-sata-iii-internal-solid-state-drive-mz-77e1t0b-am-english/15266457
Kingston 960GB SATA III Internal Solid State Drive (SA400S37/960G),N/A,N/A,https://www.bestbuy.ca/en-ca/product/kingston-960gb-sata-iii-internal-solid-state-drive-sa400s37-960g/15142523
Samsung 990 EVO 2TB NVMe PCI-e Internal Solid State Drive (MZ-V9E2T0B/AM) - English - Black/Red,N/A,N/A,https://www.bestbuy.ca/en-ca/product/samsung-990-evo-2tb-nvme-pci-e-internal-solid-state-drive-mz-v9e2t0b-am-english-black-red/17697647
Samsung 870 EVO 2TB SATA III Internal Solid State Drive (MZ-77E2T0B/AM) - English,N/A,N/A,https://www.bestbuy.ca/en-ca/product/samsung-870-evo-2tb-sata-iii-internal-solid-state-drive-mz-77e2t0b-am-english/15266461
Kingston NV2 1TB NVMe PCI-e Internal Solid State Drive (SNV2S/1000G),N/A,N/A,https://www.bestbuy.ca/en-ca/product/kingston-nv2-1tb-nvme-pci-e-internal-solid-state-drive-snv2s-1000g/16488672
Samsung 990PRO 1TB NVMe PCI-e Internal Solid State Drive with Heatsink - Optimized for PS5,$139.99,SAVE $100,https://www.bestbuy.ca/en-ca/product/samsung-990pro-1tb-nvme-pci-e-internal-solid-state-drive-with-heatsink-optimized-for-ps5/16624803
WD_BLACK SN850P 2TB NVMe PCI-e Internal Solid State Drive with Heatsink - Officially Licensed for PS5,$264.99,SAVE $10,https://www.bestbuy.ca/en-ca/product/wdblack-sn850p-2tb-nvme-pci-e-internal-solid-state-drive-with-heatsink-officially-licensed-for-ps5/17108595
Seagate Lightsaber Special Edition FireCuda 1TB NVMe PCI-e Internal Solid State Drive (ZP1000GM3A053),$124.99,SAVE $40,https://www.bestbuy.ca/en-ca/product/seagate-lightsaber-special-edition-firecuda-1tb-nvme-pci-e-internal-solid-state-drive-zp1000gm3a053/17064515
Kingston NV2 2TB NVMe PCI-e Internal Solid State Drive (SNV2S/2000G),$169.99,SAVE $5,https://www.bestbuy.ca/en-ca/product/kingston-nv2-2tb-nvme-pci-e-internal-solid-state-drive-snv2s-2000g/16488671
Corsair MP600 Pro LPX 1TB M.2 NVMe PCI-e (Gen 4) Internal Solid State Drive with Heatsink - Optimized for PS5,$104.99,SAVE $30,https://www.bestbuy.ca/en-ca/product/corsair-mp600-pro-lpx-1tb-m-2-nvme-pci-e-gen-4-internal-solid-state-drive-with-heatsink-optimized-for-ps5/15980328
WD_BLACK SN770 2TB NVMe PCI-e Internal Solid State Drive (WDBBDL0020BNC-WRSN),$169.99,SAVE $20,https://www.bestbuy.ca/en-ca/product/wdblack-sn770-2tb-nvme-pci-e-internal-solid-state-drive-wdbbdl0020bnc-wrsn/15962259
Samsung 990 EVO 1TB NVMe PCI-e Internal Solid State Drive (MZ-V9E1T0B/AM) - English - Black/Red,$159.99,SAVE $10,https://www.bestbuy.ca/en-ca/product/samsung-990-evo-1tb-nvme-pci-e-internal-solid-state-drive-mz-v9e1t0b-am-english-black-red/17697648
Kingston KC3000 2TB NVMe PCI-e Internal Solid State Drive,$214.99,SAVE $5,https://www.bestbuy.ca/en-ca/product/kingston-kc3000-2tb-nvme-pci-e-internal-solid-state-drive/16035742
Kingston KC3000 1TB NVMe PCI-e Internal Solid State Drive,$129.99,SAVE $10,https://www.bestbuy.ca/en-ca/product/kingston-kc3000-1tb-nvme-pci-e-internal-solid-state-drive/16035741
WD_BLACK SN850X 2TB NVMe PCI-e Internal Solid State Drive (WDBB9G0020BNC-WRSN),$209.99,SAVE $25,https://www.bestbuy.ca/en-ca/product/wdblack-sn850x-2tb-nvme-pci-e-internal-solid-state-drive-wdbb9g0020bnc-wrsn/16373379
WD_BLACK SN850P 4TB NVMe PCI-e Internal Solid State Drive with Heatsink - Officially Licensed for PS5,N/A,N/A,https://www.bestbuy.ca/en-ca/product/wdblack-sn850p-4tb-nvme-pci-e-internal-solid-state-drive-with-heatsink-officially-licensed-for-ps5/17108596
WD SN850X 1TB Internal SSD PCIe Gen 4 x4 NVMe with Heatsink for PS5 & Desktops,$139.99,SAVE $20,https://www.bestbuy.ca/en-ca/product/wd-sn850x-1tb-internal-ssd-pcie-gen-4-x4-nvme-with-heatsink-for-ps5-desktops/16373380
WD Blue 1TB Internal Solid State Drive (WDBB8H0010BNC-WRSN),$104.99,SAVE $20,https://www.bestbuy.ca/en-ca/product/wd-blue-1tb-internal-solid-state-drive-wdbb8h0010bnc-wrsn/16366471
